Milliseconds per frame: 21.334
event_index,call_type,call_type_index,render_call_number,gpu_time_ms
1,glClear,0,0,0.016
5,glClear,1,1,0.004
9,glDrawArraysEXT,0,2,0.039
18,glDrawArrays,1,3,0.012
27,glDrawArrays,2,4,0.010
36,glDrawArrays,3,5,0.010
45,glDrawArrays,4,6,0.010
54,glDrawArrays,5,7,0.011
63,glDrawArrays,6,8,0.011
72,glDrawArrays,7,9,0.011
81,glDrawArrays,8,10,0.011
90,glDrawArrays,9,11,0.013
99,glDrawArrays,10,12,0.010
108,glDrawArrays,11,13,0.008
117,glDrawArrays,12,14,0.008
126,glDrawArrays,13,15,0.008
135,glDrawArrays,14,16,0.008
144,glDrawArrays,15,17,0.008
153,glDrawArrays,16,18,0.008
162,glDrawArrays,17,19,0.008
171,glDrawArrays,18,20,0.008
180,glDrawArrays,19,21,0.008
189,glDrawArrays,20,22,0.008
198,glDrawArrays,21,23,0.010
207,glDrawArrays,22,24,0.010
216,glDrawArrays,23,25,0.010
225,glDrawArrays,24,26,0.010
234,glDrawArrays,25,27,0.010
243,glDrawArrays,26,28,0.010
252,glDrawArrays,27,29,0.011
261,glDrawArrays,28,30,0.011
270,glDrawArrays,29,31,0.011
279,glDrawArrays,30,32,0.012
288,glDrawArrays,31,33,0.010
297,glDrawArrays,32,34,0.008
306,glDrawArrays,33,35,0.008
315,glDrawArrays,34,36,0.008
324,glDrawArrays,35,37,0.008
333,glDrawArrays,36,38,0.008
342,glDrawArrays,37,39,0.008
351,glDrawArrays,38,40,0.008
360,glDrawArrays,39,41,0.008
369,glDrawArrays,40,42,0.008
378,glDrawArrays,41,43,0.010
387,glDrawArrays,42,44,0.010
396,glDrawArrays,43,45,0.010
405,glDrawArrays,44,46,0.010
414,glDrawArrays,45,47,0.010
423,glDrawArrays,46,48,0.011
432,glDrawArrays,47,49,0.011
441,glDrawArrays,48,50,0.011
450,glDrawArrays,49,51,0.012
459,glDrawArrays,50,52,0.012
468,glDrawArrays,51,53,0.012
477,glDrawArrays,52,54,0.011
486,glDrawArrays,53,55,0.008
495,glDrawArrays,54,56,0.008
504,glDrawArrays,55,57,0.008
513,glDrawArrays,56,58,0.008
522,glDrawArrays,57,59,0.008
531,glDrawArrays,58,60,0.008
540,glDrawArrays,59,61,0.008
549,glDrawArrays,60,62,0.008
558,glDrawArrays,61,63,0.010
567,glDrawArrays,62,64,0.010
576,glDrawArrays,63,65,0.010
585,glDrawArrays,64,66,0.010
594,glDrawArrays,65,67,0.010
603,glDrawArrays,66,68,0.011
612,glDrawArrays,67,69,0.011
621,glDrawArrays,68,70,0.011
630,glDrawArrays,69,71,0.012
639,glDrawArrays,70,72,0.012
648,glDrawArrays,71,73,0.012
657,glDrawArrays,72,74,0.012
666,glDrawArrays,73,75,0.011
675,glDrawArrays,74,76,0.008
684,glDrawArrays,75,77,0.008
693,glDrawArrays,76,78,0.008
702,glDrawArrays,77,79,0.008
711,glDrawArrays,78,80,0.008
720,glDrawArrays,79,81,0.008
729,glDrawArrays,80,82,0.008
738,glDrawArrays,81,83,0.010
747,glDrawArrays,82,84,0.010
756,glDrawArrays,83,85,0.010
765,glDrawArrays,84,86,0.010
774,glDrawArrays,85,87,0.010
783,glDrawArrays,86,88,0.011
792,glDrawArrays,87,89,0.011
801,glDrawArrays,88,90,0.011
810,glDrawArrays,89,91,0.011
819,glDrawArrays,90,92,0.012
828,glDrawArrays,91,93,0.012
837,glDrawArrays,92,94,0.012
846,glDrawArrays,93,95,0.014
855,glDrawArrays,94,96,0.012
864,glDrawArrays,95,97,0.009
873,glDrawArrays,96,98,0.008
882,glDrawArrays,97,99,0.008
891,glDrawArrays,98,100,0.008
900,glDrawArrays,99,101,0.008
909,glDrawArrays,100,102,0.008
918,glDrawArrays,101,103,0.010
927,glDrawArrays,102,104,0.010
